Section	Key	English	Amharic	Oromo	Tigrinya	Somali
emptyStates	emptyStates.noNotifications	No notifications to display	የሚታይ ማሳወቂያ የለም	Beeksisni mul'atu hin jiru	ዝርአ ሓበሬታ የለን	Ogeysiis la muujiyo ma jiro
emptyStates	emptyStates.allCaughtUp	All caught up!	ሁሉም ተከታትለዋል!	Hundaa ilaalteetta!	ኩሉ ተኸታቲልካ ኣለኻ!	Waa la soo gaadhay!
emptyStates	emptyStates.noOperations	No operations tasks yet. Create one to get started.	እስካሁን የተግባር ሥራ የለም። ለመጀመር አንድ ይፍጠሩ።	Hojiin hojimaataa hanga ammaatti hin jiru. Jalqabuuf tokko uumaa.	ክሳብ ሕጂ ናይ ስርሒት ተግባር የለን። ንምጅማር ሓደ ፍጠር።	Weli hawl hawlgal ma jirto. Mid samee si aad u bilowdo.
emptyStates	emptyStates.noResearch	No research tasks yet. Create one to get started.	እስካሁን የምርምር ሥራ የለም። ለመጀመር አንድ ይፍጠሩ።	Hojiin qorannoo hanga ammaatti hin jiru. Jalqabuuf tokko uumaa.	ክሳብ ሕጂ ናይ ምርምር ተግባር የለን። ንምጅማር ሓደ ፍጠር።	Weli hawl cilmi baadhis ma jirto. Mid samee si aad u bilowdo.
emptyStates	emptyStates.noBacklog	No backlog items yet. Create one to get started.	እስካሁን ባክሎግ የለም። ለመጀመር አንድ ይፍጠሩ።	Wanti tarree eeggataa keessa hanga ammaatti hin jiru. Jalqabuuf tokko uumaa.	ክሳብ ሕጂ ናይ ባክሎግ ኣቑሕ የለን። ንምጅማር ሓደ ፍጠር።	Weli shaqo sugaysa ma jirto. Mid samee si aad u bilowdo.
emptyStates	emptyStates.noReleases	No releases planned yet. Create one to start tracking.	እስካሁን የታቀደ ልቀት የለም። ለመከታተል አንድ ይፍጠሩ።	Gadhiisni hanga ammaatti hin karoorfamne. Hordofuuf tokko uumaa.	ክሳብ ሕጂ ዝተመደበ ምልቃቕ የለን። ንምክትታል ሓደ ፍጠር።	Weli sii dayn la qorsheeyin. Mid samee si aad raadraacidda u bilowdo.
emptyStates	emptyStates.noCodeReviews	No code reviews pending. Create one to start reviewing.	በመጠባበቅ ላይ ያለ የኮድ ግምገማ የለም። ለመጀመር አንድ ይፍጠሩ።	Gamaaggamni koodii eeggataa hin jiru. Jalqabuuf tokko uumaa.	ዝጽበ ናይ ኮድ ግምገማ የለን። ንምጅማር ሓደ ፍጠር።	Weli dib u eegis koodh sugaysa ma jirto. Mid samee si aad u bilowdo.
emptyStates	emptyStates.noSocialMedia	No social media tasks yet. Create one to start planning.	እስካሁን የማህበራዊ ሚዲያ ሥራ የለም። ለማቀድ አንድ ይፍጠሩ።	Hojiin miidiyaa hawaasaa hanga ammaatti hin jiru. Karoorsuuf tokko uumaa.	ክሳብ ሕጂ ናይ ማሕበራዊ ሚድያ ተግባር የለን። ንምድላው ሓደ ፍጠር።	Weli hawl baraha bulshada ma jirto. Mid samee si aad qorshaynta u bilowdo.
emptyStates	emptyStates.noAnalytics	No analytics tasks yet. Create one to start tracking.	እስካሁን የትንታኔ ሥራ የለም። ለመከታተል አንድ ይፍጠሩ።	Hojiin xiinxalaa hanga ammaatti hin jiru. Hordofuuf tokko uumaa.	ክሳብ ሕጂ ናይ ትንተና ተግባር የለን። ንምክትታል ሓደ ፍጠር።	Weli hawl falanqayn ma jirto. Mid samee si aad raadraacidda u bilowdo.
emptyStates	emptyStates.noCampaigns	No campaigns yet. Create one to get started.	እስካሁን ዘመቻ የለም። ለመጀመር አንድ ይፍጠሩ።	Duulli hanga ammaatti hin jiru. Jalqabuuf tokko uumaa.	ክሳብ ሕጂ ዘመተ የለን። ንምጅማር ሓደ ፍጠር።	Weli olole ma jiro. Mid samee si aad u bilowdo.
emptyStates	emptyStates.noIncidents	No incidents reported. Create one to start tracking.	የተዘገበ ክስተት የለም። ለመከታተል አንድ ይፍጠሩ።	Mudannoon hin gabaafamne. Hordofuuf tokko uumaa.	ዝተመዝገበ ፍጻመ የለን። ንምክትታል ሓደ ፍጠር።	Weli dhacdooyin la soo sheegin. Mid samee si aad raadraacidda u bilowdo.
emptyStates	emptyStates.noMonitoring	No monitoring tasks yet. Create one to start tracking.	እስካሁን የክትትል ሥራ የለም። ለመከታተል አንድ ይፍጠሩ።	Hojiin to'annoo hanga ammaatti hin jiru. Hordofuuf tokko uumaa.	ክሳብ ሕጂ ናይ ክትትል ተግባር የለን። ንምክትታል ሓደ ፍጠር።	Weli hawl la socod ma jirto. Mid samee si aad raadraacidda u bilowdo.
emptyStates	emptyStates.noChecklists	No checklists yet. Create one to standardize procedures.	እስካሁን ቼክሊስት የለም። ሂደቶችን ለማደራጀት አንድ ይፍጠሩ።	Tarreen sakatta'iinsaa hanga ammaatti hin jiru. Adeemsa dhaabbataaf tokko uumaa.	ክሳብ ሕጂ ናይ መርኣያ ዝርዝር የለን። ኣገባባት ንምስታንዳርድ ሓደ ፍጠር።	Weli liis hubinta ma jirto. Mid samee si aad habka caadiga aad u dejiso.
emptyStates	emptyStates.noDataTasks	No data tasks yet. Create one to start collecting.	እስካሁን የዳታ ሥራ የለም። ለመሰብሰብ አንድ ይፍጠሩ።	Hojiin daataa hanga ammaatti hin jiru. Sassaabuuf tokko uumaa.	ክሳብ ሕጂ ናይ ዳታ ተግባር የለን። ንምእካብ ሓደ ፍጠር።	Weli hawl xog ma jirto. Mid samee si aad ururinta u bilowdo.
emptyStates	emptyStates.noFindings	No findings yet. Create one to document insights.	እስካሁን ግኝት የለም። ግንዛቤዎችን ለመመዝገብ አንድ ይፍጠሩ።	Argannoon hanga ammaatti hin jiru. Hubannoo galmeessuuf tokko uumaa.	ክሳብ ሕጂ ረኽቦ የለን። ትዕዝብትታት ንምምዝጋብ ሓደ ፍጠር።	Weli natiijo la helin. Mid samee si aad aragtiyo u diiwaangeliso.
emptyStates	emptyStates.noResearchPlans	No research plans yet. Create one to get started.	እስካሁን የምርምር ዕቅድ የለም። ለመጀመር አንድ ይፍጠሩ።	Karoora qorannoo hanga ammaatti hin jiru. Jalqabuuf tokko uumaa.	ክሳብ ሕጂ ናይ ምርምር ውጥን የለን። ንምጅማር ሓደ ፍጠር።	Weli qorshe cilmi baadhis ma jiro. Mid samee si aad u bilowdo.
emptyStates	emptyStates.noMaterials	No materials tracked yet. Create one to manage resources.	እስካሁን የተከታተለ ቁሳቁስ የለም። ሀብቶችን ለማስተዳደር አንድ ይፍጠሩ።	Meeshaaleen hanga ammaatti hin hordofamne. Qabeenya bulchuuf tokko uumaa.	ክሳብ ሕጂ ዝተኸታተሉ ኣቑሑት የለን። ጸጋታት ንምኣመሓዳር ሓደ ፍጠር።	Weli agab la raadraacin. Mid samee si aad kheyraadka u maamusho.
emptyStates	emptyStates.noInspections	No inspections scheduled. Create one to start tracking.	የታቀደ ምርመራ የለም። ለመከታተል አንድ ይፍጠሩ።	Sakatta'iinsi hin sagantaa'in. Hordofuuf tokko uumaa.	ዝተመደበ ምርመራ የለን። ንምክትታል ሓደ ፍጠር።	Weli kormeer la qorsheeyin. Mid samee si aad raadraacidda u bilowdo.
emptyStates	emptyStates.noArticles	No articles found for	ለ ምንም ጽሑፍ አልተገኘም	Barreeffamni hin argamne	ንዝረኸቡ ጽሑፋት የለን	Maqaal lama helin
emptyStates	emptyStates.noCompliance	Compliance module	የተገዢነት ሞጁል	Mooojulii hordoffii	ሞጁል ምእዛዝ	Qaybta waafaqsanaan
emptyStates	emptyStates.noComplianceDesc	Track regulatory requirements, audit trails, and compliance documentation. Configure your compliance framework to get started.	የቁጥጥር መስፈርቶችን፣ የኦዲት ዱካዎችን እና የተገዢነት ሰነዶችን ይከታተሉ።	Ulaagaalee to'annoo, tarree oddeetii fi sanadoota hordoffii hordofi.	ናይ ቁጽጽር ረቛሒታት፣ ናይ ኦዲት ዱካታት ከምኡ'ውን ናይ ምእዛዝ ሰነዳት ተኸታተሉ።	Shuruudaha xeerarka, raadadka baadhitaanka iyo dukumentiyada waafaqsanaan la soco.
emptyStates	emptyStates.configureCompliance	Configure Compliance	ተገዢነትን ያዋቅሩ	Hordoffii Qindeessi	ምእዛዝ ኣዋድዱ	Waafaqsanaan Habee
emptyStates	emptyStates.noMedical	Medical records	የሕክምና መዝገቦች	Galmee yaalaa	ናይ ሕክምና መዛግብቲ	Diiwaanka caafimaad
emptyStates	emptyStates.noMedicalDesc	Manage patient records, appointments, and medical documentation. Set up your medical workspace to begin.	የታካሚ መዝገቦችን፣ ቀጠሮዎችን እና የሕክምና ሰነዶችን ያስተዳድሩ።	Galmee dhukkubsataa, beellama fi sanadoota yaalaa bulchi.	ናይ ሕሙም መዛግብቲ፣ ቆጸራታት ከምኡ'ውን ናይ ሕክምና ሰነዳት ኣመሓድሩ።	Diiwaanka bukaan-socodka, ballanaha iyo dukumentiyada caafimaad maamul.
emptyStates	emptyStates.setupMedical	Set Up Medical	ሕክምና ያዋቅሩ	Yaalaa Qindeessi	ሕክምና ኣዋድዱ	Caafimaad Habee
emptyStates	emptyStates.noProcurement	No procurement records	የግዥ መዝገቦች የሉም	Galmeen bittaa hin jiru	ናይ ግዝኢ መዝገብ የለን	Diiwaano iibsasho ma jiraan
emptyStates	emptyStates.noProcurementDesc	Track purchase orders, vendor management, and procurement workflows in one place.	የግዥ ትዕዛዞችን፣ የአቅራቢ አስተዳደርን እና የግዥ ሂደቶችን በአንድ ቦታ ይከታተሉ።	Ajaja bittaa, bulchiinsa dhiyeessituu fi adeemsa bittaa bakka tokkotti hordofi.	ናይ ግዝኢ ትእዛዛት፣ ናይ ኣቕረብቲ ምሕደራ ከምኡ'ውን ናይ ግዝኢ ኣገባብ ኣብ ሓደ ቦታ ተኸታተሉ።	Dalbadaha iibsashada, maamulka bixiyeyaasha iyo habka iibsashada meel kaliya ku la soco.
emptyStates	emptyStates.createPO	Create PO	የግዥ ትዕዛዝ ፍጠር	Ajaja Bittaa Uumi	ናይ ግዝኢ ትእዛዝ ፍጠር	Dalabad Iibsi Samee
emptyStates	emptyStates.noSafety	Safety management	የደህንነት አስተዳደር	Bulchiinsa nageenyaa	ምሕደራ ድሕነት	Maamulka badbaadada
emptyStates	emptyStates.noSafetyDesc	Monitor safety incidents, inspections, and compliance reports. Set up your safety program.	የደህንነት ክስተቶችን፣ ፍተሻዎችን እና የተገዢነት ሪፖርቶችን ይከታተሉ።	Balaa nageenyaa, sakatta'iinsa fi gabaasa hordoffii hordofi.	ናይ ድሕነት ፍጻመታት፣ መርመራታት ከምኡ'ውን ናይ ምእዛዝ ጸብጻባት ተኸታተሉ።	Dhacdooyinka badbaadada, baadhitaannada iyo warbixinaha waafaqsanaan la soco.
emptyStates	emptyStates.configureSafety	Configure Safety	ደህንነትን ያዋቅሩ	Nageenyaa Qindeessi	ድሕነት ኣዋድዱ	Badbaadada Habee
emptyStates	emptyStates.noEquipment	No equipment tracked	የተከታተለ መሳሪያ የለም	Meeshaan hordofame hin jiru	ዝተኸታተለ መሳርሒ የለን	Qalab la soo socdo ma jiro
emptyStates	emptyStates.noEquipmentDesc	Track equipment inventory, maintenance schedules, and utilization across your organization.	የመሳሪያ ቆጠራን፣ የጥገና መርሐ ግብሮችን እና አጠቃቀምን ይከታተሉ።	Herrega meeshaa, sagantaa suphaa fi itti fayyadama hordofi.	ናይ መሳርሒ ቆጸራ፣ ናይ ጽገና መደባት ከምኡ'ውን ኣጠቓቕማ ተኸታተሉ።	Liiska qalabka, jadwalka dayactirka iyo isticmaalka la soco.
emptyStates	emptyStates.addEquipment	Add Equipment	መሳሪያ ያክሉ	Meeshaa Dabali	መሳርሒ ወስኹ	Qalab Kudar
emptyStates	emptyStates.noFacilities	No facilities registered	የተመዘገበ ተቋም የለም	Dhaabbanni galmaa'e hin jiru	ዝተመዝገበ ትካል የለን	Xarun la diiwaan geliyay ma jirto
emptyStates	emptyStates.noFacilitiesDesc	Manage buildings, rooms, and facility maintenance in one central location.	ህንፃዎችን፣ ክፍሎችን እና የተቋም ጥገናን በአንድ ማዕከላዊ ቦታ ያስተዳድሩ።	Gamoo, kutaa fi suphaa dhaabbataa bakka tokkoo giddu-galeessaatti bulchi.	ህንጻታት፣ ክፍልታት ከምኡ'ውን ናይ ትካል ጽገና ኣብ ሓደ ማእከላይ ቦታ ኣመሓድሩ።	Dhismayaasha, qolalka iyo dayactirka xarunta meel dhexe ku maamul.
emptyStates	emptyStates.addFacility	Add Facility	ተቋም ያክሉ	Dhaabbata Dabali	ትካል ወስኹ	Xarun Kudar
emptyStates	emptyStates.noSites	No sites configured	የተዋቀረ ቦታ የለም	Bakki qindaa'e hin jiru	ዝተዋደደ ቦታ የለን	Goob la habeeyey ma jirto
emptyStates	emptyStates.noSitesDesc	Track project sites, locations, and geographic data for field operations.	የፕሮጀክት ቦታዎችን፣ አካባቢዎችን እና ለመስክ ስራዎች ጂኦግራፊያዊ መረጃ ይከታተሉ።	Bakka pirojektii, iddoo fi daataa jiyoogiraafii hojii dirreef hordofi.	ናይ ፕሮጀክት ቦታታት፣ ኣከባቢታት ከምኡ'ውን ናይ ሜዳ ስራሕ ጂኦግራፊያዊ ሓበሬታ ተኸታተሉ።	Goobaha mashruuca, meelaha iyo xogta juquraafiga ee howlaha goobta la soco.
emptyStates	emptyStates.addSite	Add Site	ቦታ ያክሉ	Bakka Dabali	ቦታ ወስኹ	Goob Kudar
emptyStates	emptyStates.noResources	No resources allocated	የተመደበ ሀብት የለም	Qabeenya ramadame hin jiru	ዝተመደበ ጸጋ የለን	Kheyraad la qoondeeyay ma jiro
emptyStates	emptyStates.noResourcesDesc	Manage resource allocation, capacity planning, and utilization tracking.	የሀብት ምደባ፣ የአቅም ዕቅድ እና የአጠቃቀም ክትትልን ያስተዳድሩ።	Ramaddii qabeenyaa, karoora dandeettii fi hordoffii itti fayyadama bulchi.	ናይ ጸጋ ምምዳብ፣ ናይ ዓቕሚ ዕቅዲ ከምኡ'ውን ናይ ኣጠቓቕማ ክትትል ኣመሓድሩ።	Qoondeynta kheyraadka, qorsheynta awoodda iyo la socodka isticmaalka maamul.
emptyStates	emptyStates.addResource	Add Resource	ሀብት ያክሉ	Qabeenya Dabali	ጸጋ ወስኹ	Kheyraad Kudar
emptyStates	emptyStates.noGrants	No grants tracked	የተከታተለ ድጋፍ የለም	Deeggarsi hordofame hin jiru	ዝተኸታተለ ሓገዝ የለን	Deeq la soo socdo ma jiro
emptyStates	emptyStates.noGrantsDesc	Track grant applications, funding sources, and disbursement schedules.	የድጋፍ ማመልከቻዎችን፣ የገንዘብ ምንጮችን እና የስርጭት መርሐ ግብሮችን ይከታተሉ።	Iyyannoo deeggarsa, madda maallaqaa fi sagantaa raabsaa hordofi.	ናይ ሓገዝ ምልክታታት፣ ናይ ገንዘብ ምንጭታት ከምኡ'ውን ናይ ምዝርጋሕ መደባት ተኸታተሉ።	Codsiyada deeqda, ilaha dhaqaalaha iyo jadwalka qaybinta la soco.
emptyStates	emptyStates.addGrant	Add Grant	ድጋፍ ያክሉ	Deeggarsa Dabali	ሓገዝ ወስኹ	Deeq Kudar
emptyStates	emptyStates.noImpact	Impact tracking	የተፅዕኖ ክትትል	Hordoffii dhiibbaa	ክትትል ጽልዋ	La socodka saamaynta
emptyStates	emptyStates.noImpactDesc	Measure and report on project impact, outcomes, and key performance indicators.	በፕሮጀክት ተፅዕኖ፣ ውጤቶች እና ዋና የአፈፃፀም አመልካቾች ላይ ይለኩ እና ያሳውቁ።	Dhiibbaa pirojektii, bu'aa fi agarsiistuuwwan raawwii ijoo irratti safaruufi gabaasi.	ኣብ ጽልዋ ፕሮጀክት፣ ውጽኢታት ከምኡ'ውን ቀንዲ ኣመልከቲ ኣፈጻጽማ ልኸዩ ከምኡ'ውን ሓብሩ።	Saamaynta mashruuca, natiijooyinka iyo tilmaamayaasha muhiimka ah ee waxqabadka ku cabbir oo ka warbixin.
emptyStates	emptyStates.configureMetrics	Configure Metrics	መለኪያዎችን ያዋቅሩ	Safartuu Qindeessi	መለክዒታት ኣዋድዱ	Cabbirrada Habee
emptyStates	emptyStates.noPatients	No patients registered	የተመዘገበ ታካሚ የለም	Dhukkubsataan galmaa'e hin jiru	ዝተመዝገበ ሕሙም የለን	Bukaan-socod la diiwaan geliyay ma jiro
emptyStates	emptyStates.noPatientsDesc	Add your first patient record to start managing medical information and appointments.	የሕክምና መረጃ እና ቀጠሮዎችን ለማስተዳደር የመጀመሪያ ታካሚ መዝገብ ያክሉ።	Odeeffannoo yaalaa fi beellama bulchuuf galmee dhukkubsataa jalqabaa dabali.	ናይ ሕክምና ሓበሬታ ከምኡ'ውን ቆጸራታት ንምምሕዳር ናይ መጀመርታ ሕሙም መዝገብ ወስኹ።	Xogta caafimaad iyo ballanta maamulidda diiwaanka bukaan-socodka koowaad kudar.
emptyStates	emptyStates.addPatient	Add Patient	ታካሚ ያክሉ	Dhukkubsataa Dabali	ሕሙም ወስኹ	Bukaan-socod Kudar
emptyStates	emptyStates.noCourses	No courses available	ምንም ትምህርቶች የሉም	Barnooti hin jiru	ኮርሳት የለዉን	Koorsoyin ma jiraan
emptyStates	emptyStates.noCoursesDesc	Course management features are coming soon.	የትምህርት አስተዳደር ባህሪያት በቅርቡ ይመጣሉ።	Amaloota bulchiinsa barnootaa dhiyootti ni dhufu.	ናይ ኮርስ ምሕደራ ባህርያት ቀረባ ግዜ ክመጽእ እዩ።	Astaamaha maamulka koorsada dhowaan waa imanayaan.
emptyStates	emptyStates.nothingHereYet	Nothing here yet	እስካሁን ምንም የለም	Hanga ammaatti homtuu hin jiru	ክሳብ ሕጂ ዋላ ሓደ የለን	Wali waxba halkan kuma jiraan
emptyStates	emptyStates.getStartedDefault	Get started by creating your first item.	የመጀመሪያ ንጥልዎን በመፍጠር ይጀምሩ።	Wanta jalqabaa kee uumuudhaan eegali.	ናይ መጀመርታ ንጥልኹም ብምፍጣር ጀምሩ።	Shayga koowaad adigoo sameynaya bilow.
emptyStates	emptyStates.noDevelopment	No development tasks yet. Create one to track your work.	እስካሁን የልማት ተግባራት የሉም። ስራዎን ለመከታተል አንድ ይፍጠሩ።	Hanga ammaatti hojii misooma hin jiru. Hojii kee hordofuuf tokko uumi.	ክሳብ ሕጂ ናይ ልምዓት ስራሕ የለን። ስራሕኩም ንምክትታል ሓደ ፍጠሩ።	Wali howlo horumarineed ma jiraan. Mid samee si aad shaqadaada u la socoto.
emptyStates	emptyStates.noMarketing	No marketing tasks yet. Create one to get started.	እስካሁን የግብይት ተግባራት የሉም። ለመጀመር አንድ ይፍጠሩ።	Hanga ammaatti hojii gabaa hin jiru. Eegaluuf tokko uumi.	ክሳብ ሕጂ ናይ ዕዳጋ ስራሕ የለን። ንምጅማር ሓደ ፍጠሩ።	Wali howlo suuq-geyn ma jiraan. Mid samee si aad u bilowdo.
pricing	pricing.choosePlan	Choose your plan	ዕቅድ ይምረጡ	Karoora filadhaa	ውጥንኻ ምረጽ	Qorshahaaga dooro
pricing	pricing.selectPerfectPlan	Select the perfect plan for your team	ለቡድንዎ ትክክለኛውን ዕቅድ ይምረጡ	Garee keessaniif karoora sirrii ta'e filadhaa	ንጋንታኻ ዝበቅዕ ውጥን ምረጽ	Kooxdaada qorshaha ugu fiican u dooro
pricing	pricing.premiumTrialActive	Premium trial active	የፕሪሚየም ሙከራ ንቁ ነው	Yaaliin piriimiyeemii hojii irra jira	ናይ ፕሪምየም ፈተነ ንጡፍ	Tijaabada premium way shaqaysaa
pricing	pricing.trialEnds	Trial ends {date}	ሙከራ ያበቃል {date}	Yaaliin ni dhuma {date}	ፈተነ ይውዳእ {date}	Tijaabadu way dhammaan {date}
pricing	pricing.free	Free	ነጻ	Bilisaa	ነጻ	Bilaash
pricing	pricing.standard	Standard	ስታንዳርድ	Istaandaridii	ስታንዳርድ	Caadi
pricing	pricing.premium	Premium	ፕሪሚየም	Piriimiyeemii	ፕሪምየም	Premium
pricing	pricing.perUserMonth	per user / month	በአንድ ተጠቃሚ / በወር	fayyadamaa tokkotti / ji'atti	ንሓደ ተጠቃሚ / ንወርሒ	isticmaale kasta / bishii
pricing	pricing.forIndividuals	For individuals and small teams	ለግለሰቦች እና ትንንሽ ቡድኖች	Namoota dhuunfaa fi garee xixiqqaaf	ንውልቀ-ሰባት ን ንኣሽቱ ጋንታታት	Shaqsiyaadka iyo kooxaha yaryar
pricing	pricing.forGrowingTeams	For growing teams and organizations	ለሚያድጉ ቡድኖች እና ድርጅቶች	Garee guddataa jiru fi dhaabbileetiif	ንዝዓብዩ ጋንታታት ን ትካላት	Kooxaha sii koraya iyo hay'adaha
pricing	pricing.forAIPowered	For AI-powered enterprise teams	ለAI-የተጎለበተ ኢንተርፕራይዝ ቡድኖች	Garee intarpiraayizii AI-n deeggarameef	ብAI ዝተሓየለ ናይ ኢንተርፕራይዝ ጋንታታት	Kooxaha ganacsiga ee AI ku shaqeeya
pricing	pricing.upTo10Users	Up to 10 users	እስከ 10 ተጠቃሚዎች	Hanga fayyadamaa 10tti	ክሳብ 10 ተጠቀምቲ	Ilaa 10 isticmaale
pricing	pricing.unlimitedUsers	Unlimited users	ያልተገደበ ተጠቃሚዎች	Fayyadamtoota daangaa hin qabne	ዘይውሱን ተጠቀምቲ	Isticmaaleyaal aan xad lahayn
pricing	pricing.basicPM	Basic project management	መሠረታዊ ፕሮጀክት አስተዳደር	Bulchiinsa pirojektii bu'uuraa	መሰረታዊ ናይ ፕሮጀክት ኣመሓዳድራ	Maaraynta mashruuca aasaasiga
pricing	pricing.advancedPM	Advanced project management	የላቀ ፕሮጀክት አስተዳደር	Bulchiinsa pirojektii sadarkaa olaanaa	ዝማዕበለ ናይ ፕሮጀክት ኣመሓዳድራ	Maaraynta mashruuca horumarsan
pricing	pricing.communitySupport	Community support	የማህበረሰብ ድጋፍ	Deeggarsa hawaasaa	ናይ ማሕበረሰብ ደገፍ	Taageerada bulshada
pricing	pricing.prioritySupport	Priority support	ቅድሚያ ድጋፍ	Deeggarsa dursa	ቀዳምነት ደገፍ	Taageero mudnaanta leh
pricing	pricing.selectFree	Select Free	ነጻ ምረጥ	Bilisaa Fili	ነጻ ምረጽ	Bilaash Dooro
pricing	pricing.buyStandard	Buy Standard	ስታንዳርድ ግዛ	Istaandaridii Biti	ስታንዳርድ ግዛእ	Caadi Iibso
pricing	pricing.addPayment	Add Payment Method	የክፍያ ዘዴ ጨምር	Mala Kaffaltii Dabali	ናይ ክፍሊት ኣገባብ ወስኽ	Hab lacag bixin ku dar
pricing	pricing.recommended	Recommended	የሚመከር	Kan Gorsamame	ዝምከር	Lagu talinayo
pricing	pricing.startTrial	Start Free Trial	ነጻ ሙከራ ጀምር	Yaalii Bilisaa Jalqabi	ነጻ ፈተነ ጀምር	Tijaabo Bilaash ah Bilow
pricing	pricing.forTeamsGettingStarted	For individuals or teams getting started	ለሚጀምሩ ግለሰቦች ወይም ቡድኖች	Namoota dhuunfaa ykn garee jalqabaa jiraniif	ንውልቀ-ሰባት ወይ ዝጅምሩ ጋንታታት	Shaqsiyaadka ama kooxaha bilaabanaya
pricing	pricing.forSmallGrowing	For small & growing teams needing better control	የተሻለ ቁጥጥር ለሚፈልጉ ትንንሽ እና እያደጉ ያሉ ቡድኖች	Garee xixiqqaa fi guddataa jiru to'annoo fooyya'aa barbaaduuf	ንንኣሽቱን ዝዓብዩን ጋንታታት ዝሓሸ ምቁጽጻር ዘድልዮም	Kooxaha yaryar ee sii koraya oo maamul wanaagsan u baahan
pricing	pricing.forAIPoweredTeams	For teams needing AI-powered productivity	AI-የተጎለበተ ምርታማነት ለሚፈልጉ ቡድኖች	Garee bu'a qabeessummaa AI-n deeggarame barbaaduuf	ብAI ዝተሓየለ ናይ ምህርቲ ዘድልዮም ጋንታታት	Kooxaha u baahan waxqabad AI ku shaqeeya
pricing	pricing.ethCalendarLanguages	Ethiopian calendar & 4 languages	የኢትዮጵያ ቀን መቁጠሪያ እና 4 ቋንቋዎች	Kaalaandarii Itoophiyaa fi afaan 4	ናይ ኢትዮጵያ ዓውደ-ኣዋርሕን 4 ቋንቋታትን	Kalandarka Itoobiya & 4 luuqadood
pricing	pricing.projectUserPermissions	Project & user permissions	የፕሮጀክት እና የተጠቃሚ ፈቃዶች	Hayyama pirojektii fi fayyadamaa	ናይ ፕሮጀክትን ተጠቃሚን ፍቓዳት	Oggolaanshaha mashruuca & isticmaalaha
pricing	pricing.advancedReporting	Advanced reporting & analytics	የላቀ ሪፖርት እና ትንታኔ	Gabaasaa fi xiinxala sadarkaa olaanaa	ዝማዕበለ ጸብጻብን ትንተናን	Warbixinta horumarsan & falanqaynta
pricing	pricing.aiTaskGeneration	AI-powered task generation & summaries	AI-የተጎለበተ ተግባር ማመንጨት እና ማጠቃለያ	Uumsa hojii fi cuunfaa AI-n deeggarame	ብAI ዝተሓየለ ናይ ተግባር ፍጥረትን ጽሟቓትን	Soo saarista hawlaha AI & soo koobidda
pricing	pricing.advancedPlanning	Advanced planning & automation	የላቀ ዕቅድ እና አውቶሜሽን	Karoorsuu fi ofumaan hojjechuu sadarkaa olaanaa	ዝማዕበለ ውጥንን ኦቶመይሽንን	Qorshaynta horumarsan & otomaatikga
pricing	pricing.support247	24/7 priority support	24/7 ቅድሚያ ድጋፍ	Deeggarsa dursa sa'aa 24/7	24/7 ቀዳምነት ደገፍ	Taageero mudnaanta leh 24/7
pricing	pricing.advancedAdmin	Advanced admin controls & insights	የላቀ የአስተዳዳሪ ቁጥጥር እና ግንዛቤዎች	To'annoo fi hubannoo bulchaa sadarkaa olaanaa	ዝማዕበለ ናይ ኣመሓዳሪ ቁጽጽርን ትዕዝብትን	Maamulka horumarsan & aragtida
pricing	pricing.unlimitedStorage	Unlimited storage & integrations	ያልተገደበ ማከማቻ እና ውህደቶች	Kuufama fi walitti makamtii daangaa hin qabne	ዘይውሱን ማሕደራን ውህደታትን	Kaydinta aan xad lahayn & isku xidhka
pricing	pricing.whatsIncluded	What's included	ምን ይካተታል	Maaltu keessatti argama	ዝሓዘ	Waxa ku jira
pricing	pricing.everythingInPlus	Everything in {plan}, plus	በ{plan} ውስጥ ያለው ሁሉ፣ በተጨማሪ	Waan {plan} keessatti argamu hundaa, dabalataan	ኣብ {plan} ዘሎ ኩሉ፣ ብተወሳኺ	Dhammaan waxa ku jira {plan}, iyo sidoo kale
pricing	pricing.needMore100Users	Need more than 100 users?	ከ100 በላይ ተጠቃሚዎች ያስፈልጉዎታል?	Fayyadamaa 100 ol barbaadduu?	ልዕሊ 100 ተጠቀምቲ ዘድልየካ?	Ma u baahan tahay ka badan 100 isticmaale?
pricing	pricing.exploreEnterprise	Explore Enterprise	ኢንተርፕራይዝ ያስሱ	Intarpiraayizii Ilaali	ኢንተርፕራይዝ ርአ	Ganacsi weyn baadhitaan ku samee
pricing	pricing.questions	Questions?	ጥያቄዎች?	Gaaffiiwwan?	ሕቶታት?	Su'aalo?
pricing	pricing.contactSales	Contact sales	ሽያጭ ያግኙ	Gurgurtaa quunnamaa	ሸቐጥ ርኸብ	La xiriir iibinta
pricing	pricing.trialEndsOn	Your trial ends on	ሙከራዎ ያበቃል	Yaaliin keessan ni dhuma	ፈተነኻ ዝውዳእ	Tijaabadaadu waxay dhammaan doontaa
pricing	pricing.choosePlanContinue	Choose a plan to continue enjoying all features.	ሁሉንም ባህሪያት ማስደሰት ለመቀጠል ዕቅድ ይምረጡ።	Amaloota hundaa itti fufuuf karoora filadhaa.	ኩሉ ባህርያት ንምቕጻል ውጥን ምረጽ።	Qorshe dooro si aad u sii raaxaysato dhammaan astaamaha.
landing	landing.nav.features	Features	ባህሪያት	Amaloota	ባህርያት	Astaamaha
landing	landing.nav.product	Product	ምርት	Oomisha	ፍርያት	Badeecadda
landing	landing.nav.pricing	Pricing	ዋጋ	Gatii	ዋጋ	Qiimaha
